                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 2.9311,                 3.8195,                 2.3724,                 1.1869,                0.11932,                0.08173,                0.05122,                0.01627,                0.11441,                0.07941,                0.04612,                0.01379,                 3.2246,                 3.9878,                 2.9445,                 1.2044,              0.0099743,              0.0099743,              0.0099743
                     16,                 2.9615,                 3.7824,                 2.3709,                 1.2058,                0.14825,                0.07325,                0.05138,                 0.0209,                0.11742,                0.08976,                0.05074,                0.01516,                 3.0499,                 3.7006,                 4.5911,                 1.2297,              0.0099723,              0.0099723,              0.0099723
                     17,                 2.9897,                 3.7955,                 2.4258,                 1.1804,                 0.1373,                0.08481,                0.05814,                0.02032,                0.09712,                0.08019,                0.03965,                0.01173,                 3.0847,                 3.6725,                 2.9283,                 1.1987,              0.0099703,              0.0099703,              0.0099703
                     18,                 2.9373,                 3.7831,                 2.3679,                 1.1898,                0.15949,                0.09561,                0.06971,                0.02593,                0.11496,                0.07401,                0.04034,                0.00976,                 2.9404,                 3.6676,                 2.5008,                 1.1835,              0.0099683,              0.0099683,              0.0099683
                     19,                 2.9553,                 3.8543,                 2.3007,                 1.1632,                0.19234,                0.09098,                0.07563,                0.02804,                0.13574,                 0.0771,                0.05302,                0.01629,                 2.9339,                 3.6908,                 2.4467,                  1.186,              0.0099663,              0.0099663,              0.0099663
                     20,                 2.9008,                 3.7571,                 2.2474,                 1.1768,                0.20405,                 0.0825,                0.06785,                0.02485,                0.14534,                0.07479,                0.05179,                0.01671,                 2.9514,                 3.7676,                 2.6274,                 1.2183,              0.0099644,              0.0099644,              0.0099644
                     21,                 2.9329,                 3.7669,                 2.2931,                 1.1437,                 0.1781,                0.08481,                0.06536,                0.02527,                0.15938,                0.08327,                0.05563,                0.01611,                 2.9533,                 3.7588,                 2.6846,                 1.2046,              0.0099624,              0.0099624,              0.0099624
                     22,                  2.904,                 3.7466,                 2.3077,                 1.1602,                0.13725,                0.08944,                0.05613,                0.01915,                0.08112,                0.05705,                0.02709,                 0.0088,                 3.1361,                 4.5655,                 2.6605,                 1.2632,              0.0099604,              0.0099604,              0.0099604
                     23,                 2.9067,                 3.7531,                  2.324,                 1.1661,                0.15891,                0.10332,                0.07607,                0.02734,                 0.1511,                0.09638,                0.06067,                0.01687,                 2.9253,                 3.7664,                 2.6476,                 1.1928,              0.0099584,              0.0099584,              0.0099584
                     24,                 2.8438,                 3.6665,                 2.2121,                 1.1335,                0.19812,                0.10177,                0.08487,                0.03328,                0.14294,                0.07556,                0.05401,                0.01791,                 2.8644,                 3.7187,                 2.3426,                 1.1716,              0.0099564,              0.0099564,              0.0099564
                     25,                 2.8662,                 3.7252,                 2.1937,                 1.1445,                0.21145,                0.10794,                0.08411,                 0.0325,                0.14459,                 0.0771,                  0.047,                0.01744,                 2.8641,                 3.6502,                 2.4197,                 1.1474,              0.0099545,              0.0099545,              0.0099545
                     26,                 2.8792,                 3.7083,                 2.2498,                 1.1848,                  0.218,                0.11499,                0.08402,                0.03386,                0.16531,                0.07633,                0.05271,                0.01623,                 2.8885,                 3.7366,                 2.4538,                 1.1725,              0.0099525,              0.0099525,              0.0099525
                     27,                 2.7435,                 3.6502,                 2.1439,                 1.1476,                0.23242,                0.11719,                 0.0999,                0.03984,                0.18057,                0.09715,                0.06525,                0.02021,                 2.8269,                 3.6105,                 2.2804,                 1.1668,              0.0099505,              0.0099505,              0.0099505
                     28,                 2.7116,                 3.6522,                  2.028,                 1.1116,                 0.2289,                0.10794,                0.08722,                0.03312,                0.17067,                0.07941,                0.05281,                0.01453,                 2.8571,                  3.709,                 2.3019,                 1.1702,              0.0099485,              0.0099485,              0.0099485
                     29,                 2.7349,                 3.6714,                 2.0674,                 1.1045,                0.22465,                0.10794,                0.09354,                 0.0349,                0.15741,                 0.0825,                0.05643,                0.01712,                  2.846,                  3.571,                 2.3087,                 1.1648,              0.0099465,              0.0099465,              0.0099465
                     30,                 2.7964,                 3.6161,                 2.0882,                 1.1156,                0.18363,                0.11874,                 0.0856,                0.03179,                0.15174,                0.10023,                0.05645,                0.01749,                 2.9144,                 3.7715,                  2.343,                 1.1744,              0.0099446,              0.0099446,              0.0099446
                     31,                 2.6523,                 3.5658,                 2.0124,                 1.1167,                0.12753,                0.07941,                0.05459,                0.01833,                0.10093,                0.06399,                0.03298,                0.00994,                 3.1095,                 4.2418,                 2.5109,                   1.18,              0.0099426,              0.0099426,              0.0099426
                     32,                 2.6671,                 3.6169,                 2.0171,                  1.112,                0.15765,                0.11103,                 0.0751,                0.02836,                0.10467,                 0.0879,                0.04303,                0.01262,                 2.9918,                 3.7776,                 2.4458,                 1.1484,              0.0099406,              0.0099406,              0.0099406
                     33,                 2.6364,                 3.5184,                 1.9249,                 1.0956,                0.16557,                0.11025,                0.08201,                 0.0318,                0.11135,                0.08635,                0.04614,                0.01418,                 2.9173,                 3.6697,                 2.4091,                 1.1266,              0.0099386,              0.0099386,              0.0099386
                     34,                 2.6579,                 3.5392,                 1.9999,                 1.0898,                0.16212,                0.09869,                0.07572,                0.02854,                0.10492,                0.07479,                0.04276,                0.01339,                 2.9666,                 3.7079,                 2.4074,                 1.1441,              0.0099366,              0.0099366,              0.0099366
                     35,                 2.6212,                  3.552,                 1.9174,                 1.0973,                0.18961,                 0.1118,                 0.0881,                0.03047,                0.14534,                0.07247,                0.04351,                 0.0136,                 2.9865,                 3.7265,                 2.5032,                  1.154,              0.0099347,              0.0099347,              0.0099347
                     36,                 2.5935,                 3.4474,                 1.9556,                 1.0973,                0.25633,                0.09461,                0.08727,                0.03109,                0.15553,                0.07787,                0.04993,                0.01507,                 2.9736,                 3.7939,                 2.3298,                 1.1587,              0.0099327,              0.0099327,              0.0099327
                     37,                 2.5988,                 3.3791,                 1.9386,                 1.0782,                0.24659,                0.10254,                 0.0859,                 0.0322,                0.15562,                0.07325,                0.04743,                0.01313,                 2.9842,                 3.8923,                 2.4024,                 1.1704,              0.0099307,              0.0099307,              0.0099307
                     38,                 2.5592,                 3.5529,                 1.8625,                 1.0783,                0.23666,                0.11257,                0.08733,                0.03351,                0.16489,                0.08327,                0.05115,                0.01278,                 2.9291,                 3.7609,                 2.3022,                 1.1547,              0.0099287,              0.0099287,              0.0099287
                     39,                 2.5937,                 3.5122,                 1.9494,                 1.0687,                 0.2039,                0.12413,                 0.0925,                0.03429,                0.10299,                0.08096,                0.04157,                0.01201,                 2.9168,                 3.6867,                 2.2851,                 1.1395,              0.0099267,              0.0099267,              0.0099267
                     40,                 2.5059,                 3.4697,                 1.8486,                 1.0869,                 0.2244,                0.12259,                0.09912,                0.03962,                0.14688,                0.09175,                0.05375,                0.01526,                 2.8361,                 3.6127,                 2.3322,                 1.1287,              0.0099248,              0.0099248,              0.0099248
                     41,                 2.5591,                 3.4903,                 1.8615,                 1.0622,                0.22818,                0.12081,                0.09785,                0.03904,                0.15083,                0.09175,                0.05431,                0.01568,                 2.8581,                  3.582,                  2.358,                 1.1411,              0.0099228,              0.0099228,              0.0099228
                     42,                 2.5965,                 3.4699,                 1.9415,                 1.0432,                0.19716,                0.11334,                0.08331,                0.03334,                0.12661,                 0.0825,                0.05082,                 0.0144,                 2.9049,                 3.6566,                 2.4263,                 1.1402,              0.0099208,              0.0099208,              0.0099208
                     43,                 2.5842,                 3.4812,                 1.8645,                 1.0512,                  0.235,                0.12259,                0.09297,                0.03938,                0.16631,                0.09782,                0.05981,                0.01772,                 2.8454,                 3.5804,                 2.3011,                 1.1387,              0.0099188,              0.0099188,              0.0099188
                     44,                 2.4923,                 3.3815,                 1.7735,                 1.0533,                0.22547,                0.12105,                0.10227,                0.03983,                0.17828,                0.10409,                0.07197,                0.02249,                 2.8544,                 3.6021,                 2.3222,                 1.1371,              0.0099168,              0.0099168,              0.0099168
                     45,                 2.4883,                 3.3714,                 1.7473,                 1.0676,                0.28932,                0.12259,                0.10966,                0.04684,                 0.2019,                0.10254,                0.07506,                0.02105,                 2.7577,                 3.5574,                 2.2203,                 1.1263,              0.0099149,              0.0099149,              0.0099149
                     46,                 2.4905,                 3.4186,                 1.8137,                 1.0464,                0.26677,                0.11951,                0.11053,                0.04483,                0.20103,                0.09406,                0.07138,                0.02143,                 2.7535,                 3.5864,                 2.2603,                 1.1188,              0.0099129,              0.0099129,              0.0099129
                     47,                 2.5318,                  3.419,                 1.8293,                 1.0358,                0.24506,                0.13724,                0.11057,                0.04341,                0.19316,                0.11257,                 0.0777,                0.02399,                   2.78,                 3.5998,                 2.1717,                 1.1236,              0.0099109,              0.0099109,              0.0099109
                     48,                 2.5463,                 3.4319,                 1.8083,                 1.0771,                0.25652,                0.12645,                0.10776,                0.04562,                0.18586,                0.10794,                0.07262,                0.02146,                 2.7137,                 3.5521,                 2.1895,                 1.1185,              0.0099089,              0.0099089,              0.0099089
                     49,                 2.4772,                 3.3188,                 1.7417,                 1.0548,                0.27029,                0.12722,                0.11112,                0.04754,                 0.1979,                0.10794,                0.07793,                0.02391,                 2.7294,                 3.5475,                 2.1723,                  1.118,              0.0099069,              0.0099069,              0.0099069
                     50,                 2.4514,                 3.3455,                 1.7613,                 1.0534,                0.23048,                0.13717,                0.11027,                0.04619,                0.18806,                0.11103,                0.07848,                0.02309,                 2.7256,                 3.5158,                 2.1644,                 1.1193,               0.009905,               0.009905,               0.009905
                     51,                 2.4421,                 3.2939,                 1.7003,                 1.0479,                0.23485,                0.14151,                0.11252,                 0.0457,                0.18985,                 0.1064,                0.07582,                0.02283,                 2.7581,                 3.6191,                 2.2473,                 1.1173,               0.009903,               0.009903,               0.009903
                     52,                 2.3761,                 3.2814,                  1.621,                  1.039,                0.23059,                0.13107,                0.10683,                0.04421,                0.15817,                0.09715,                0.06192,                0.01825,                 2.8343,                 3.6683,                 2.2711,                 1.1234,               0.009901,               0.009901,               0.009901
                     53,                  2.342,                 3.2428,                 1.6879,                 1.0218,                 0.2221,                0.12028,                0.09876,                0.03934,                0.15423,                0.09561,                0.05773,                0.01712,                 2.8359,                 3.7058,                  2.304,                 1.1228,               0.009899,               0.009899,               0.009899
                     54,                 2.3112,                 3.3093,                 1.5977,                   1.03,                0.22528,                0.11874,                0.09321,                0.03589,                0.15908,                0.09175,                0.05392,                0.01858,                 2.9177,                 3.7499,                 2.3964,                 1.1337,               0.009897,               0.009897,               0.009897
                     55,                  2.325,                 3.2134,                   1.63,                 1.0237,                0.27736,                0.14109,                0.12013,                0.04841,                0.18216,                0.11257,                0.07988,                0.02345,                 2.8045,                 3.5482,                 2.2096,                 1.1322,              0.0098951,              0.0098951,              0.0098951
                     56,                 2.3059,                 3.2507,                 1.5901,                 1.0238,                 0.1995,                0.12953,                 0.0982,                0.03848,                0.13578,                0.09194,                0.05836,                0.01772,                 2.9376,                 3.5841,                 2.2373,                 1.1404,              0.0098931,              0.0098931,              0.0098931
                     57,                 2.3149,                 3.1976,                 1.5518,                 1.0314,                0.26583,                0.12339,                0.10549,                0.04045,                0.15716,                0.10254,                0.06867,                0.02057,                 2.9371,                 3.5119,                 2.2562,                 1.1475,              0.0098911,              0.0098911,              0.0098911
                     58,                 2.3236,                 3.2576,                 1.5669,                 1.0223,                0.25113,                0.12105,                   0.11,                0.04743,                0.20132,                0.10254,                0.07581,                0.02569,                 2.8432,                 3.4838,                 2.2396,                  1.143,              0.0098891,              0.0098891,              0.0098891
                     59,                 2.3796,                 3.2332,                 1.6443,                 1.0252,                0.24452,                 0.1249,                0.10864,                0.04421,                0.16682,                0.09329,                0.06738,                0.01988,                 2.9093,                 3.4977,                 2.1681,                 1.1367,              0.0098871,              0.0098871,              0.0098871
                     60,                 2.3294,                 3.2537,                 1.5728,                 1.0221,                0.25649,                0.13801,                0.12193,                0.05202,                0.15832,                0.11103,                 0.0715,                0.02258,                 2.7771,                 3.5027,                 2.1355,                 1.1087,              0.0098852,              0.0098852,              0.0098852
                     61,                 2.2857,                 3.1873,                 1.5447,                 1.0145,                 0.2461,                 0.1303,                0.12113,                0.04953,                 0.1548,                0.09483,                0.06768,                0.02111,                 2.8018,                 3.5582,                 2.1837,                 1.1154,              0.0098832,              0.0098832,              0.0098832
                     62,                 2.2414,                 3.1586,                 1.4863,                 1.0118,                0.28205,                0.12876,                0.12223,                 0.0482,                0.19423,                0.08867,                0.07062,                0.01918,                 2.8029,                 3.5286,                 2.1349,                 1.1203,              0.0098812,              0.0098812,              0.0098812
                     63,                 2.1653,                 3.1709,                 1.4451,                 1.0003,                0.32086,                0.12567,                0.12335,                0.05094,                0.20871,                0.10409,                0.08192,                0.02556,                 2.7438,                 3.4772,                  2.177,                 1.1201,              0.0098792,              0.0098792,              0.0098792
                     64,                  2.234,                 3.1332,                 1.5469,                 1.0086,                0.24542,                0.13416,                0.11773,                0.05035,                0.18902,                0.09715,                0.07653,                0.02173,                 2.7254,                 3.5165,                 2.1757,                 1.1163,              0.0098772,              0.0098772,              0.0098772
                     65,                  2.205,                 3.1029,                 1.4599,                0.98949,                0.25741,                0.14341,                0.12466,                0.05136,                0.18505,                0.10948,                0.08365,                 0.0261,                 2.7246,                 3.5031,                   2.12,                 1.1228,              0.0098753,              0.0098753,              0.0098753
                     66,                 2.2194,                 3.1519,                 1.5058,                0.99898,                0.28025,                0.14109,                 0.1226,                0.04897,                0.19802,                0.09715,                0.07457,                0.02262,                 2.7716,                 3.5085,                 2.1232,                 1.1085,              0.0098733,              0.0098733,              0.0098733
                     67,                  2.224,                 3.1053,                 1.5012,                 0.9831,                0.22666,                0.13647,                0.10985,                0.04382,                0.16861,                 0.0771,                0.05449,                0.01661,                 2.7829,                 3.5972,                 2.2274,                 1.1049,              0.0098713,              0.0098713,              0.0098713
                     68,                 2.2615,                 3.0793,                 1.4795,                 1.0124,                0.25102,                0.14341,                0.11898,                0.04925,                0.18839,                0.11472,                0.07833,                0.02326,                 2.7012,                 3.5799,                 2.1836,                 1.0983,              0.0098693,              0.0098693,              0.0098693
                     69,                 2.1787,                 3.0038,                 1.4387,                0.99176,                0.28547,                0.13801,                0.12525,                0.04897,                0.21935,                0.09021,                0.07706,                 0.0198,                 2.7777,                 3.6523,                 2.1553,                 1.1112,              0.0098673,              0.0098673,              0.0098673
                     70,                 2.2024,                 3.0626,                 1.5002,                0.98196,                0.24528,                0.13724,                0.11764,                0.04633,                0.18433,                0.10948,                0.08073,                0.02321,                 2.8196,                  3.596,                 2.1961,                  1.132,              0.0098654,              0.0098654,              0.0098654
                     71,                 2.2044,                 3.0659,                 1.4842,                0.99286,                0.27531,                0.13647,                0.11937,                0.04558,                0.18509,                0.10254,                0.07073,                0.02052,                  2.854,                 3.5638,                 2.2716,                 1.1279,              0.0098634,              0.0098634,              0.0098634
                     72,                 2.2859,                 3.0329,                 1.5388,                0.98116,                0.28915,                0.14341,                0.12299,                0.05119,                0.21142,                0.10486,                0.07739,                0.02537,                 2.7572,                 3.5019,                 2.2046,                  1.099,              0.0098614,              0.0098614,              0.0098614
                     73,                  2.247,                 3.0744,                 1.4551,                0.99603,                0.29978,                0.13338,                0.11259,                0.04609,                0.20438,                0.10023,                0.07762,                0.02427,                 2.8136,                 3.5623,                 2.2226,                 1.1084,              0.0098594,              0.0098594,              0.0098594
                     74,                 2.2788,                 3.1728,                 1.5026,                0.97961,                0.27416,                0.12876,                0.10628,                 0.0419,                0.18984,                0.09946,                0.07181,                0.02029,                  2.842,                 3.6606,                 2.2092,                 1.1137,              0.0098574,              0.0098574,              0.0098574
                     75,                 2.1551,                 3.0971,                 1.4254,                0.98696,                 0.2597,                0.13801,                0.11332,                0.04552,                0.18278,                0.10409,                0.07008,                0.01866,                 2.8541,                 3.6346,                 2.1881,                 1.1174,              0.0098555,              0.0098555,              0.0098555
                     76,                 2.1954,                 3.1633,                 1.4157,                 0.9853,                0.26125,                0.14264,                0.11483,                0.04253,                0.18203,                0.11565,                0.06753,                0.02207,                 2.8958,                 3.6197,                 2.1747,                 1.1213,              0.0098535,              0.0098535,              0.0098535
                     77,                 2.1861,                 3.0733,                 1.4253,                0.97248,                 0.2975,                0.13878,                0.12312,                0.04725,                0.19983,                0.10486,                 0.0792,                0.02174,                 2.8702,                 3.5867,                 2.1459,                 1.1187,              0.0098515,              0.0098515,              0.0098515
                     78,                  2.093,                 2.9929,                 1.3348,                0.98393,                0.39039,                0.12028,                0.12827,                0.04929,                0.17717,                0.10332,                0.07704,                0.02197,                 2.8239,                 3.5278,                 2.1319,                 1.1068,              0.0098495,              0.0098495,              0.0098495
                     79,                 2.1125,                 2.9611,                 1.4004,                 1.0021,                0.35325,                0.14108,                 0.1396,                0.05898,                0.23427,                0.10794,                 0.0932,                0.02723,                 2.6958,                 3.4543,                 2.1293,                 1.0987,              0.0098475,              0.0098475,              0.0098475
                     80,                 2.1096,                 2.9705,                 1.3488,                0.97252,                0.27969,                0.14418,                0.12616,                0.05148,                0.20045,                0.10794,                0.08552,                0.02401,                 2.7335,                 3.4169,                   2.17,                  1.102,              0.0098456,              0.0098456,              0.0098456
                     81,                  2.128,                 3.0607,                 1.3813,                 0.9788,                   0.25,                0.14418,                0.12467,                0.05173,                0.18722,                0.12028,                0.08871,                0.02664,                 2.7216,                 3.4259,                   2.16,                 1.1006,              0.0098436,              0.0098436,              0.0098436
                     82,                 2.1414,                 3.0484,                 1.3935,                  0.983,                0.27948,                0.13647,                0.12675,                0.05343,                0.19504,                0.11565,                0.08141,                0.02363,                 2.6833,                 3.4266,                 2.1479,                 1.0965,              0.0098416,              0.0098416,              0.0098416
                     83,                 2.0865,                 3.0208,                 1.3494,                0.97644,                0.29001,                0.14495,                0.13079,                 0.0557,                 0.2046,                0.12259,                0.08774,                0.02517,                 2.6435,                 3.4263,                 2.1252,                 1.0993,              0.0098396,              0.0098396,              0.0098396
                     84,                 2.1387,                 2.8981,                 1.3203,                 0.9738,                0.28021,                0.14264,                0.12822,                0.05456,                0.21783,                0.11642,                0.08355,                0.02569,                 2.6586,                 3.4676,                 2.1591,                 1.1054,              0.0098376,              0.0098376,              0.0098376
                     85,                 2.0533,                 2.9088,                 1.3096,                0.96073,                0.30812,                0.13416,                0.12329,                0.05389,                0.19026,                0.10948,                0.07778,                0.02306,                 2.7083,                  3.502,                 2.1719,                 1.1167,              0.0098357,              0.0098357,              0.0098357
                     86,                 2.0835,                  2.975,                 1.3087,                0.95172,                0.28675,                0.14495,                0.12678,                0.05151,                0.18738,                0.11025,                 0.0713,                 0.0244,                 2.8156,                 3.5824,                 2.1851,                 1.1242,              0.0098337,              0.0098337,              0.0098337
                     87,                 2.0748,                 2.8999,                 1.3215,                 0.9586,                0.27359,                0.13416,                0.11442,                0.04385,                 0.1573,                0.09406,                0.06376,                0.02129,                 2.9097,                 3.5515,                 2.1582,                 1.1302,              0.0098317,              0.0098317,              0.0098317
                     88,                 2.0622,                 2.8878,                 1.2946,                0.96716,                0.23945,                0.15343,                 0.1229,                0.04963,                0.21581,                0.12028,                0.08404,                0.02765,                 2.7032,                 3.5323,                 2.1853,                 1.0976,              0.0098297,              0.0098297,              0.0098297
                     89,                 2.0211,                 2.9587,                 1.2651,                0.95773,                0.29681,                0.15497,                0.13184,                0.05485,                0.22851,                0.12336,                0.08686,                0.02956,                 2.6868,                 3.4767,                 2.1415,                 1.0939,              0.0098277,              0.0098277,              0.0098277
                     90,                 2.0751,                 3.0086,                 1.3503,                0.96026,                0.32525,                0.14726,                0.13623,                0.05601,                0.24464,                0.11565,                 0.0898,                0.02773,                 2.6927,                 3.4575,                 2.1265,                 1.0897,              0.0098258,              0.0098258,              0.0098258
                     91,                  2.099,                 2.9518,                 1.3368,                0.94989,                0.33132,                0.15189,                0.13782,                0.05963,                0.23041,                0.10563,                0.08508,                0.02565,                 2.6585,                 3.4702,                 2.1448,                  1.088,              0.0098238,              0.0098238,              0.0098238
                     92,                 2.0434,                 2.8586,                  1.294,                0.95902,                0.32344,                0.15343,                0.14131,                0.06033,                0.27039,                0.12413,                0.09799,                0.02891,                 2.6432,                 3.4966,                 2.0998,                 1.0999,              0.0098218,              0.0098218,              0.0098218
                     93,                 2.0357,                 2.8215,                  1.272,                0.95791,                0.30942,                0.15574,                0.13919,                0.05905,                0.23742,                0.11951,                0.09509,                0.02855,                 2.6672,                 3.5086,                 2.1168,                 1.0925,              0.0098198,              0.0098198,              0.0098198
